[2018-11-11 21:59:37,485]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2018-11-11 22:00:44,365]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'admin' {id=1}
[2018-11-11 22:05:23,542]   INFO - tbrains.buildServer.ACTIVITIES - Shutdown Spring components
[2018-11-11 22:05:24,818]   INFO - tbrains.buildServer.ACTIVITIES - Spring components are shut down
[2018-11-11 22:08:25,002]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2018-11-11 22:09:20,451]   INFO - tbrains.buildServer.ACTIVITIES - Shutdown Spring components
[2018-11-11 22:09:21,656]   INFO - tbrains.buildServer.ACTIVITIES - Spring components are shut down
[2018-11-11 22:12:05,490]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2018-11-11 22:13:54,721]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_create: Project "Server Social {id=ServerSocial, internal id=project1}" was created by "'admin' {id=1}"
[2018-11-11 22:13:54,741]   INFO - s.buildServer.ACTIVITIES.AUDIT - vcs_root_create: VCS root ""https://github.com/sharifyr/server-social.git#refs/heads/master" {internal id=1, id=ServerSocial_HttpsGithubComSharifyrServerSocialGitRefsHeadsMaster, description: "https://github.com/sharifyr/server-social.git#refs/heads/master"}" was created by "'admin' {id=1}" with comment "In project: Server Social"
[2018-11-11 22:13:54,862]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_create: "Server Social / Build {id=ServerSocial_Build, internal id=bt1}" was created by "'admin' {id=1}"
[2018-11-11 22:14:08,276]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Build {id=ServerSocial_Build, internal id=bt1}" build configuration settings were edited ("version before: 1, version after: 2") by "'admin' {id=1}" with comment "1 build step(s) were added to 'Build' build configuration"
[2018-11-11 22:14:15,219]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=1} was added to queue by "'admin' {id=1}"
[2018-11-11 22:14:15,228]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=1, configuration={id=ServerSocial_Build, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 22:14:47,350]   INFO - tbrains.buildServer.ACTIVITIES - Shutdown Spring components
[2018-11-11 22:14:49,211]   INFO - tbrains.buildServer.ACTIVITIES - Spring components are shut down
[2018-11-11 22:15:30,157]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2018-11-11 22:18:20,554]   INFO - s.buildServer.ACTIVITIES.AUDIT - agent_authorize: Agent "Unregistered agent "dockerteamcity_teamcity-agent_1" {id=1}" was authorized by "'admin' {id=1}"
[2018-11-11 22:19:08,597]   INFO - tbrains.buildServer.ACTIVITIES - Shutdown Spring components
[2018-11-11 22:19:09,718]   INFO - tbrains.buildServer.ACTIVITIES - Spring components are shut down
[2018-11-11 22:19:51,902]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2018-11-11 22:25:20,358]   INFO - tbrains.buildServer.ACTIVITIES - Shutdown Spring components
[2018-11-11 22:25:21,908]   INFO - tbrains.buildServer.ACTIVITIES - Spring components are shut down
[2018-11-11 22:26:03,644]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2018-11-11 22:26:59,856]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Build {id=ServerSocial_Build, internal id=bt1} #1 {promotion id=1, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 22:26:59.573, running}
[2018-11-11 22:27:08,213]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Build {id=ServerSocial_Build, internal id=bt1} #1 {promotion id=1, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 22:27:00.752, finished. Status "FAILURE 'Cannot connect to the Docker daemon at unix:///var/run/docker.sock. Is the docker daemon running? (new); exit code 1 (Step: Docker) (new)'"}
[2018-11-11 22:41:01,044]   INFO - tbrains.buildServer.ACTIVITIES - Shutdown Spring components
[2018-11-11 22:41:02,393]   INFO - tbrains.buildServer.ACTIVITIES - Spring components are shut down
[2018-11-11 22:41:45,706]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2018-11-11 22:43:06,182]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=2} was added to queue by "'admin' {id=1}"
[2018-11-11 22:43:06,192]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=2, configuration={id=ServerSocial_Build, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 22:43:06,373]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Build {id=ServerSocial_Build, internal id=bt1} #2 {promotion id=2, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 22:43:06.301, running}
[2018-11-11 22:43:10,978]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Build {id=ServerSocial_Build, internal id=bt1} #2 {promotion id=2, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 22:43:07.115, finished. Status "FAILURE 'Cannot connect to the Docker daemon at unix:///var/run/docker.sock. Is the docker daemon running?; exit code 1 (Step: Docker)'"}
[2018-11-11 22:46:09,231]   INFO - tbrains.buildServer.ACTIVITIES - Shutdown Spring components
[2018-11-11 22:46:10,974]   INFO - tbrains.buildServer.ACTIVITIES - Spring components are shut down
[2018-11-11 22:46:55,678]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2018-11-11 22:47:34,257]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=3} was added to queue by "'admin' {id=1}"
[2018-11-11 22:47:34,339]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=3, configuration={id=ServerSocial_Build, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 22:47:49,910]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Build {id=ServerSocial_Build, internal id=bt1} #3 {promotion id=3, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 22:47:49.696, running}
[2018-11-11 22:49:07,416]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Build {id=ServerSocial_Build, internal id=bt1} #3 {promotion id=3, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 22:47:50.812, finished. Status "NORMAL 'Running'"}
[2018-11-11 23:00:56,584]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=4, configuration={id=ServerSocial_Build, internal id=bt1}, queued}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs')}
[2018-11-11 23:00:56,595]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Build {id=ServerSocial_Build, internal id=bt1} #4 {promotion id=4, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-11 23:00:56.589, running}
[2018-11-11 23:02:06,141]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Build {id=ServerSocial_Build, internal id=bt1} #4 {promotion id=4, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-11 23:00:57.175, finished. Status "NORMAL 'Running'"}
[2018-11-11 23:09:11,336]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Build {id=ServerSocial_Build, internal id=bt1}" build configuration settings were edited ("version before: 2, version after: 3") by "'admin' {id=1}" with comment "runners of 'Build' build configuration were updated"
[2018-11-11 23:09:26,232]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Build {id=ServerSocial_Build, internal id=bt1}" build configuration settings were edited ("version before: 3, version after: 4") by "'admin' {id=1}" with comment "runners of 'Build' build configuration were updated"
[2018-11-11 23:09:41,748]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Build {id=ServerSocial_Build, internal id=bt1}" build configuration settings were edited ("version before: 4, version after: 5") by "'admin' {id=1}" with comment "runners of 'Build' build configuration were updated"
[2018-11-11 23:10:29,610]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_external_id_change: "Server Social / Build {id=ServerSocial, internal id=bt1}" ID was changed from "ServerSocial_Build" to "ServerSocial" by "'admin' {id=1}"
[2018-11-11 23:10:29,615]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Server Social {id=ServerSocial, internal id=bt1}" build configuration settings were edited ("version before: 5, version after: 6") by "'admin' {id=1}" with comment "general settings of 'Server Social' build configuration were updated"
[2018-11-11 23:10:36,713]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=5} was added to queue by "'admin' {id=1}"
[2018-11-11 23:10:36,715]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=5, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 23:10:36,724]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #5 {promotion id=5, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:10:36.720, running}
[2018-11-11 23:10:42,176]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #5 {promotion id=5, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:10:37.278, finished. Status "FAILURE 'Exit code 127 (Step: NPM Tests (Command Line)) (new)'"}
[2018-11-11 23:18:30,846]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Server Social {id=ServerSocial, internal id=bt1}" build configuration settings were edited ("version before: 6, version after: 7") by "'admin' {id=1}" with comment "runners of 'Server Social' build configuration were updated"
[2018-11-11 23:18:38,293]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=6} was added to queue by "'admin' {id=1}"
[2018-11-11 23:18:38,296]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=6, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 23:18:38,305]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #6 {promotion id=6, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:18:38.300, running}
[2018-11-11 23:18:43,651]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #6 {promotion id=6, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:18:38.849, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line)) (new)'"}
[2018-11-11 23:19:40,673]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Server Social {id=ServerSocial, internal id=bt1}" build configuration settings were edited ("version before: 7, version after: 8") by "'admin' {id=1}" with comment "runners of 'Server Social' build configuration were updated"
[2018-11-11 23:20:04,648]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=7} was added to queue by "'admin' {id=1}"
[2018-11-11 23:20:04,649]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=7, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 23:20:04,658]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #7 {promotion id=7, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:20:04.654, running}
[2018-11-11 23:20:10,412]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #7 {promotion id=7, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:20:05.590, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-11 23:23:17,874]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Server Social {id=ServerSocial, internal id=bt1}" build configuration settings were edited ("version before: 8, version after: 9") by "'admin' {id=1}" with comment "runners of 'Server Social' build configuration were updated"
[2018-11-11 23:23:22,221]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=8} was added to queue by "'admin' {id=1}"
[2018-11-11 23:23:22,222]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=8, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 23:23:22,236]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #8 {promotion id=8, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:23:22.232, running}
[2018-11-11 23:23:27,469]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #8 {promotion id=8, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:23:22.802, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-11 23:25:37,221]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Server Social {id=ServerSocial, internal id=bt1}" build configuration settings were edited ("version before: 9, version after: 10") by "'admin' {id=1}" with comment "runners of 'Server Social' build configuration were updated"
[2018-11-11 23:25:47,004]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=9} was added to queue by "'admin' {id=1}"
[2018-11-11 23:25:47,007]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=9, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 23:25:47,016]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #9 {promotion id=9, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:25:47.011, running}
[2018-11-11 23:25:58,057]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #9 {promotion id=9, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:25:48.118, finished. Status "NORMAL 'Running'"}
[2018-11-11 23:31:58,314]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Server Social / Server Social {id=ServerSocial, internal id=bt1}" build configuration settings were edited ("version before: 10, version after: 11") by "'admin' {id=1}" with comment "runners of 'Server Social' build configuration were updated"
[2018-11-11 23:32:03,320]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=10} was added to queue by "'admin' {id=1}"
[2018-11-11 23:32:03,322]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=10, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "'admin' {id=1}" (##userId='1' type='user')}
[2018-11-11 23:32:03,331]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #10 {promotion id=10, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-11 23:32:03.327, running}
