[2018-11-11 22:00:44,677]   INFO [ no auth; http-nio-8111-exec-7] - Successful login for user 'admin' {id=1} with auth module "Default" for session 84539DC86E... (new, created: 2018-11-11 22:00:44.433, timeout: 3600s) while processing request POST '/createAdminSubmit.html?username1=admin&submitCreateUser=&publicKey=00c4f6cde2eaddc264ceff1310d4e13dd7eb953f4bccbab2b5078e0abe96b94da6ebaeb1e98ec39f232d5916d7de719646046a20cea5ed7a9c70fcba40caa7fb1a2dab90203bf16d97456a61583ba304f57fc35069940a327065d7a6df9dcae688340f3b0bb963e7803f980f4ed7d248009d13821121613b7c6241530d806036ed&encryptedPassword1=4a359cb74c1eb8b9419fec4b34d3b1aee40a9868771601dc32c4b268697b02860a39ea64e34d56fc864d4d9772898f3e94a4dec70cd06dd15048e6a657a7b1349ad657698eaa5a8ab291cc3...', from client 172.25.0.1:44706, authenticated as 'admin' {id=1}
[2018-11-11 22:09:09,802]   INFO [ no auth; http-nio-8111-exec-6] - Successful login for user 'admin' {id=1} with auth module "Default" for session 2E4E78C7E1... (new, created: 2018-11-11 22:09:09.777, timeout: 3600s) while processing request POST '/loginSubmit.html?username=admin&remember=true&_remember=&submitLogin=Log%20in&publicKey=00f368d2feeab8ede2277db0546e38706126d7947994a9ac4119231110538fa99a6640b08ab7530144a4c107f61ebc2bd6c0128502f59b687db57f65f7cfa0e869bd4b14472ef936ad687ce63194a5162527e85c9e530795f5f42726c3b2ea99f8ccbd9e69c16130aad43b23e9e11b15c20a1d34ea708dae3f9c7198ae0e83ef9b&encryptedPassword=d44d9d4378469a10b2ddb16cbca5015df6f2afce085ea4b29dab660f84f6177f256faca971ad57bff878140faa62f65c46e851cd049cf397f8c59753ae046fdf2d7...', from client 172.25.0.1:44978, authenticated as 'admin' {id=1}
[2018-11-11 22:12:06,282]   INFO [ no auth; http-nio-8111-exec-6] - Found user 'admin' {id=1} by RememberMe cookie for request GET '/overview.html', from client 172.25.0.1:45194, no auth, session: 2E4E78C7E1...
[2018-11-11 22:12:06,388]   INFO [ no auth; http-nio-8111-exec-6] - Successful login for user 'admin' {id=1} for session 2E4E78C7E1... (new, created: 2018-11-11 22:09:09.777, timeout: 3600s) while processing request GET '/overview.html', from client 172.25.0.1:45194, authenticated as 'admin' {id=1}
[2018-11-11 22:15:31,624]   INFO [ no auth; http-nio-8111-exec-4] - Found user 'admin' {id=1} by RememberMe cookie for request GET '/agents.html', from client 172.25.0.1:45566, no auth, session: 2E4E78C7E1...
[2018-11-11 22:15:31,670]   INFO [ no auth; http-nio-8111-exec-4] - Successful login for user 'admin' {id=1} for session 2E4E78C7E1... (new, created: 2018-11-11 22:09:09.777, timeout: 3600s) while processing request GET '/agents.html', from client 172.25.0.1:45566, authenticated as 'admin' {id=1}
[2018-11-11 22:19:52,124]   INFO [no auth; http-nio-8111-exec-10] - Found user 'admin' {id=1} by RememberMe cookie for request GET '/agents.html?tab=agentPools', from client 172.25.0.1:45802, no auth, session: 2E4E78C7E1...
[2018-11-11 22:19:52,225]   INFO [no auth; http-nio-8111-exec-10] - Successful login for user 'admin' {id=1} for session 2E4E78C7E1... (new, created: 2018-11-11 22:09:09.777, timeout: 3600s) while processing request GET '/agents.html?tab=agentPools', from client 172.25.0.1:45802, authenticated as 'admin' {id=1}
[2018-11-11 22:26:11,082]   INFO [ no auth; http-nio-8111-exec-9] - Found user 'admin' {id=1} by RememberMe cookie for request GET '/app/rest/server?fields=startTime%2CbuildNumber', from client 172.25.0.1:46016, no auth, session: 2E4E78C7E1...
[2018-11-11 22:26:11,149]   INFO [ no auth; http-nio-8111-exec-9] - Successful login for user 'admin' {id=1} for session 2E4E78C7E1... (new, created: 2018-11-11 22:09:09.777, timeout: 3600s) while processing request GET '/app/rest/server?fields=startTime%2CbuildNumber', from client 172.25.0.1:46016, authenticated as 'admin' {id=1}
[2018-11-11 22:41:46,042]   INFO [ no auth; http-nio-8111-exec-2] - Found user 'admin' {id=1} by RememberMe cookie for request GET '/admin/editRunType.html?id=buildType%3AServerSocial_Build&runnerId=RUNNER_1&cameFromUrl=%2Fadmin%2FeditBuildRunners.html%3Fid%3DbuildType%253AServerSocial_Build%26init%3D1&cameFromTitle=', from client 172.25.0.1:46592, no auth, session: 2E4E78C7E1...
[2018-11-11 22:41:46,139]   INFO [ no auth; http-nio-8111-exec-2] - Successful login for user 'admin' {id=1} for session 2E4E78C7E1... (new, created: 2018-11-11 22:09:09.777, timeout: 3600s) while processing request GET '/admin/editRunType.html?id=buildType%3AServerSocial_Build&runnerId=RUNNER_1&cameFromUrl=%2Fadmin%2FeditBuildRunners.html%3Fid%3DbuildType%253AServerSocial_Build%26init%3D1&cameFromTitle=', from client 172.25.0.1:46592, authenticated as 'admin' {id=1}
[2018-11-11 22:46:58,180]   INFO [ no auth; http-nio-8111-exec-6] - Found user 'admin' {id=1} by RememberMe cookie for request GET '/viewLog.html?buildId=2&buildTypeId=ServerSocial_Build&tab=buildLog', from client 172.25.0.1:46772, no auth, session: 2E4E78C7E1...
[2018-11-11 22:46:58,234]   INFO [ no auth; http-nio-8111-exec-6] - Successful login for user 'admin' {id=1} for session 2E4E78C7E1... (new, created: 2018-11-11 22:09:09.777, timeout: 3600s) while processing request GET '/viewLog.html?buildId=2&buildTypeId=ServerSocial_Build&tab=buildLog', from client 172.25.0.1:46772, authenticated as 'admin' {id=1}
[2018-11-12 00:11:15,810]   INFO [ no auth; http-nio-8111-exec-9] - Found user 'admin' {id=1} by RememberMe cookie for request GET '/app/rest/server?fields=startTime%2CbuildNumber', from client 172.25.0.1:57146, no auth, session: F607F510FC...
[2018-11-12 00:11:15,869]   INFO [ no auth; http-nio-8111-exec-9] - Successful login for user 'admin' {id=1} for session F607F510FC... (new, created: 2018-11-12 00:10:30.273, timeout: 3600s) while processing request GET '/app/rest/server?fields=startTime%2CbuildNumber', from client 172.25.0.1:57146, authenticated as 'admin' {id=1}
[2018-11-12 00:41:19,896]   INFO [ no auth; http-nio-8111-exec-9] - Found user 'admin' {id=1} by RememberMe cookie for request GET '/app/rest/server?fields=startTime%2CbuildNumber', from client 172.25.0.1:50278, no auth, session: C862F864A6...
[2018-11-12 00:41:19,953]   INFO [ no auth; http-nio-8111-exec-9] - Successful login for user 'admin' {id=1} for session C862F864A6... (new, created: 2018-11-12 00:40:19.448, timeout: 3600s) while processing request GET '/app/rest/server?fields=startTime%2CbuildNumber', from client 172.25.0.1:50278, authenticated as 'admin' {id=1}
